ElementID,GlobalId_1,GlobalId_2,GlobalId_3,GlobalId_4
1,1,2,3,4
2,3,4,5,6
3,5,6,7,8
4,7,8,9,10
5,9,10,11,12
6,11,12,13,14
7,13,14,15,16
8,15,16,17,18
9,17,18,19,20
10,19,20,21,22
11,21,22,23,24
12,23,24,25,26
13,2,27,4,28
14,4,28,6,29
15,6,29,8,30
16,8,30,10,31
17,10,31,12,32
18,12,32,14,33
19,14,33,16,34
20,16,34,18,35
21,18,35,20,36
22,20,36,22,37
23,22,37,24,38
24,24,38,26,39
25,27,40,28,41
26,28,41,29,42
27,29,42,30,43
28,30,43,31,44
29,31,44,32,45
30,32,45,33,46
31,33,46,34,47
32,34,47,35,48
33,35,48,36,49
34,36,49,37,50
35,37,50,38,51
36,38,51,39,52
37,40,53,41,54
38,41,54,42,55
39,42,55,43,56
40,43,56,44,57
41,44,57,45,58
42,45,58,46,59
43,46,59,47,60
44,47,60,48,61
45,48,61,49,62
46,49,62,50,63
47,50,63,51,64
48,51,64,52,65
49,53,66,54,67
50,54,67,55,68
51,55,68,56,69
52,56,69,57,70
53,57,70,58,71
54,58,71,59,72
55,59,72,60,73
56,60,73,61,74
57,61,74,62,75
58,62,75,63,76
59,63,76,64,77
60,64,77,65,78
61,66,79,67,80
62,67,80,68,81
63,68,81,69,82
64,69,82,70,83
65,70,83,71,84
66,71,84,72,85
67,72,85,73,86
68,73,86,74,87
69,74,87,75,88
70,75,88,76,89
71,76,89,77,90
72,77,90,78,91
73,79,92,80,93
74,80,93,81,94
75,81,94,82,95
76,82,95,83,96
77,83,96,84,97
78,84,97,85,98
79,85,98,86,99
80,86,99,87,100
81,87,100,88,101
82,88,101,89,102
83,89,102,90,103
84,90,103,91,104
85,92,105,93,106
86,93,106,94,107
87,94,107,95,108
88,95,108,96,109
89,96,109,97,110
90,97,110,98,111
91,98,111,99,112
92,99,112,100,113
93,100,113,101,114
94,101,114,102,115
95,102,115,103,116
96,103,116,104,117
97,105,118,106,119
98,106,119,107,120
99,107,120,108,121
100,108,121,109,122
101,109,122,110,123
102,110,123,111,124
103,111,124,112,125
104,112,125,113,126
105,113,126,114,127
106,114,127,115,128
107,115,128,116,129
108,116,129,117,130
109,118,131,119,132
110,119,132,120,133
111,120,133,121,134
112,121,134,122,135
113,122,135,123,136
114,123,136,124,137
115,124,137,125,138
116,125,138,126,139
117,126,139,127,140
118,127,140,128,141
119,128,141,129,142
120,129,142,130,143
121,131,144,132,145
122,132,145,133,146
123,133,146,134,147
124,134,147,135,148
125,135,148,136,149
126,136,149,137,150
127,137,150,138,151
128,138,151,139,152
129,139,152,140,153
130,140,153,141,154
131,141,154,142,155
132,142,155,143,156
133,144,157,145,158
134,145,158,146,159
135,146,159,147,160
136,147,160,148,161
137,148,161,149,162
138,149,162,150,163
139,150,163,151,164
140,151,164,152,165
141,152,165,153,166
142,153,166,154,167
143,154,167,155,168
144,155,168,156,169
