node_id,node_coordinate_x,node_coordinate_y,boundary_flag
1,0,0,30
2,0.05,0,1
3,0,0.05,4
4,0.05,0.05,0
5,0,0.1,4
6,0.05,0.1,0
7,0,0.15,4
8,0.05,0.15,0
9,0,0.2,4
10,0.05,0.2,0
11,0,0.25,4
12,0.05,0.25,0
13,0,0.3,4
14,0.05,0.3,0
15,0,0.35,4
16,0.05,0.35,0
17,0,0.4,4
18,0.05,0.4,0
19,0,0.45,4
20,0.05,0.45,0
21,0,0.5,4
22,0.05,0.5,0
23,0,0.55,4
24,0.05,0.55,0
25,0,0.6,4
26,0.05,0.6,0
27,0,0.65,4
28,0.05,0.65,0
29,0,0.7,4
30,0.05,0.7,0
31,0,0.75,4
32,0.05,0.75,0
33,0,0.8,4
34,0.05,0.8,0
35,0,0.85,4
36,0.05,0.85,0
37,0,0.9,4
38,0.05,0.9,0
39,0,0.95,4
40,0.05,0.95,0
41,0,1,27
42,0.05,1,3
43,0.1,0,1
44,0.1,0.05,0
45,0.1,0.1,0
46,0.1,0.15,0
47,0.1,0.2,0
48,0.1,0.25,0
49,0.1,0.3,0
50,0.1,0.35,0
51,0.1,0.4,0
52,0.1,0.45,0
53,0.1,0.5,0
54,0.1,0.55,0
55,0.1,0.6,0
56,0.1,0.65,0
57,0.1,0.7,0
58,0.1,0.75,0
59,0.1,0.8,0
60,0.1,0.85,0
61,0.1,0.9,0
62,0.1,0.95,0
63,0.1,1,3
64,0.15,0,1
65,0.15,0.05,0
66,0.15,0.1,0
67,0.15,0.15,0
68,0.15,0.2,0
69,0.15,0.25,0
70,0.15,0.3,0
71,0.15,0.35,0
72,0.15,0.4,0
73,0.15,0.45,0
74,0.15,0.5,0
75,0.15,0.55,0
76,0.15,0.6,0
77,0.15,0.65,0
78,0.15,0.7,0
79,0.15,0.75,0
80,0.15,0.8,0
81,0.15,0.85,0
82,0.15,0.9,0
83,0.15,0.95,0
84,0.15,1,3
85,0.2,0,1
86,0.2,0.05,0
87,0.2,0.1,0
88,0.2,0.15,0
89,0.2,0.2,0
90,0.2,0.25,0
91,0.2,0.3,0
92,0.2,0.35,0
93,0.2,0.4,0
94,0.2,0.45,0
95,0.2,0.5,0
96,0.2,0.55,0
97,0.2,0.6,0
98,0.2,0.65,0
99,0.2,0.7,0
100,0.2,0.75,0
101,0.2,0.8,0
102,0.2,0.85,0
103,0.2,0.9,0
104,0.2,0.95,0
105,0.2,1,3
106,0.25,0,1
107,0.25,0.05,0
108,0.25,0.1,0
109,0.25,0.15,0
110,0.25,0.2,0
111,0.25,0.25,0
112,0.25,0.3,0
113,0.25,0.35,0
114,0.25,0.4,0
115,0.25,0.45,0
116,0.25,0.5,0
117,0.25,0.55,0
118,0.25,0.6,0
119,0.25,0.65,0
120,0.25,0.7,0
121,0.25,0.75,0
122,0.25,0.8,0
123,0.25,0.85,0
124,0.25,0.9,0
125,0.25,0.95,0
126,0.25,1,3
127,0.3,0,1
128,0.3,0.05,0
129,0.3,0.1,0
130,0.3,0.15,0
131,0.3,0.2,0
132,0.3,0.25,0
133,0.3,0.3,0
134,0.3,0.35,0
135,0.3,0.4,0
136,0.3,0.45,0
137,0.3,0.5,0
138,0.3,0.55,0
139,0.3,0.6,0
140,0.3,0.65,0
141,0.3,0.7,0
142,0.3,0.75,0
143,0.3,0.8,0
144,0.3,0.85,0
145,0.3,0.9,0
146,0.3,0.95,0
147,0.3,1,3
148,0.35,0,1
149,0.35,0.05,0
150,0.35,0.1,0
151,0.35,0.15,0
152,0.35,0.2,0
153,0.35,0.25,0
154,0.35,0.3,0
155,0.35,0.35,0
156,0.35,0.4,0
157,0.35,0.45,0
158,0.35,0.5,0
159,0.35,0.55,0
160,0.35,0.6,0
161,0.35,0.65,0
162,0.35,0.7,0
163,0.35,0.75,0
164,0.35,0.8,0
165,0.35,0.85,0
166,0.35,0.9,0
167,0.35,0.95,0
168,0.35,1,3
169,0.4,0,1
170,0.4,0.05,0
171,0.4,0.1,0
172,0.4,0.15,0
173,0.4,0.2,0
174,0.4,0.25,0
175,0.4,0.3,0
176,0.4,0.35,0
177,0.4,0.4,0
178,0.4,0.45,0
179,0.4,0.5,0
180,0.4,0.55,0
181,0.4,0.6,0
182,0.4,0.65,0
183,0.4,0.7,0
184,0.4,0.75,0
185,0.4,0.8,0
186,0.4,0.85,0
187,0.4,0.9,0
188,0.4,0.95,0
189,0.4,1,3
190,0.45,0,1
191,0.45,0.05,0
192,0.45,0.1,0
193,0.45,0.15,0
194,0.45,0.2,0
195,0.45,0.25,0
196,0.45,0.3,0
197,0.45,0.35,0
198,0.45,0.4,0
199,0.45,0.45,0
200,0.45,0.5,0
201,0.45,0.55,0
202,0.45,0.6,0
203,0.45,0.65,0
204,0.45,0.7,0
205,0.45,0.75,0
206,0.45,0.8,0
207,0.45,0.85,0
208,0.45,0.9,0
209,0.45,0.95,0
210,0.45,1,3
211,0.5,0,1
212,0.5,0.05,0
213,0.5,0.1,0
214,0.5,0.15,0
215,0.5,0.2,0
216,0.5,0.25,0
217,0.5,0.3,0
218,0.5,0.35,0
219,0.5,0.4,0
220,0.5,0.45,0
221,0.5,0.5,0
222,0.5,0.55,0
223,0.5,0.6,0
224,0.5,0.65,0
225,0.5,0.7,0
226,0.5,0.75,0
227,0.5,0.8,0
228,0.5,0.85,0
229,0.5,0.9,0
230,0.5,0.95,0
231,0.5,1,3
232,0.55,0,1
233,0.55,0.05,0
234,0.55,0.1,0
235,0.55,0.15,0
236,0.55,0.2,0
237,0.55,0.25,0
238,0.55,0.3,0
239,0.55,0.35,0
240,0.55,0.4,0
241,0.55,0.45,0
242,0.55,0.5,0
243,0.55,0.55,0
244,0.55,0.6,0
245,0.55,0.65,0
246,0.55,0.7,0
247,0.55,0.75,0
248,0.55,0.8,0
249,0.55,0.85,0
250,0.55,0.9,0
251,0.55,0.95,0
252,0.55,1,3
253,0.6,0,1
254,0.6,0.05,0
255,0.6,0.1,0
256,0.6,0.15,0
257,0.6,0.2,0
258,0.6,0.25,0
259,0.6,0.3,0
260,0.6,0.35,0
261,0.6,0.4,0
262,0.6,0.45,0
263,0.6,0.5,0
264,0.6,0.55,0
265,0.6,0.6,0
266,0.6,0.65,0
267,0.6,0.7,0
268,0.6,0.75,0
269,0.6,0.8,0
270,0.6,0.85,0
271,0.6,0.9,0
272,0.6,0.95,0
273,0.6,1,3
274,0.65,0,1
275,0.65,0.05,0
276,0.65,0.1,0
277,0.65,0.15,0
278,0.65,0.2,0
279,0.65,0.25,0
280,0.65,0.3,0
281,0.65,0.35,0
282,0.65,0.4,0
283,0.65,0.45,0
284,0.65,0.5,0
285,0.65,0.55,0
286,0.65,0.6,0
287,0.65,0.65,0
288,0.65,0.7,0
289,0.65,0.75,0
290,0.65,0.8,0
291,0.65,0.85,0
292,0.65,0.9,0
293,0.65,0.95,0
294,0.65,1,3
295,0.7,0,1
296,0.7,0.05,0
297,0.7,0.1,0
298,0.7,0.15,0
299,0.7,0.2,0
300,0.7,0.25,0
301,0.7,0.3,0
302,0.7,0.35,0
303,0.7,0.4,0
304,0.7,0.45,0
305,0.7,0.5,0
306,0.7,0.55,0
307,0.7,0.6,0
308,0.7,0.65,0
309,0.7,0.7,0
310,0.7,0.75,0
311,0.7,0.8,0
312,0.7,0.85,0
313,0.7,0.9,0
314,0.7,0.95,0
315,0.7,1,3
316,0.75,0,1
317,0.75,0.05,0
318,0.75,0.1,0
319,0.75,0.15,0
320,0.75,0.2,0
321,0.75,0.25,0
322,0.75,0.3,0
323,0.75,0.35,0
324,0.75,0.4,0
325,0.75,0.45,0
326,0.75,0.5,0
327,0.75,0.55,0
328,0.75,0.6,0
329,0.75,0.65,0
330,0.75,0.7,0
331,0.75,0.75,0
332,0.75,0.8,0
333,0.75,0.85,0
334,0.75,0.9,0
335,0.75,0.95,0
336,0.75,1,3
337,0.8,0,1
338,0.8,0.05,0
339,0.8,0.1,0
340,0.8,0.15,0
341,0.8,0.2,0
342,0.8,0.25,0
343,0.8,0.3,0
344,0.8,0.35,0
345,0.8,0.4,0
346,0.8,0.45,0
347,0.8,0.5,0
