From Class,To Class,References,From Entities,To Entities
"DiffusionCoefficient","Function",1,1,1
"DiffusionCoefficient","Point",1,1,1
"DoFHandler","Element",1,1,1
"DoFHandler","FETools::Quadrature",14,4,5
"DoFHandler","Mesh",1,1,1
"DoFHandler","Node",3,3,1
"DoFHandler","Point",1,1,1
"ExactSolution","Function",1,1,1
"ExactSolution","Point",2,2,1
"ExtendMat::ExtendedB","DoFHandler",1,1,1
"ExtendMat::ExtendedB","Element",3,3,1
"ExtendMat::ExtendedD","Element",1,1,1
"ExtendMat::ExtendedJ","Element",3,3,1
"FETools::SpectralFE","DoFHandler",1,1,1
"FETools::SpectralFE","Element",3,3,1
"FETools::SpectralFE","FETools::Quadrature",2,2,1
"FETools::SpectralFE","Point",3,3,1
"ForcingTerm","Function",1,1,1
"ForcingTerm","Point",1,1,1
"Function","Point",1,1,1
"functionOne","Function",1,1,1
"functionOne","Point",1,1,1
"functionZero","Function",1,1,1
"functionZero","Point",1,1,1
"Mesh","Element",5,5,1
"Mesh","Node",5,5,1
"Node","Point",5,2,1
"parallelSolver","DiffusionCoefficient",1,1,1
"parallelSolver","DoFHandler",1,1,1
"parallelSolver","Element",8,7,1
"parallelSolver","ExactSolution",1,1,1
"parallelSolver","FETools::SpectralFE",7,4,1
"parallelSolver","ForcingTerm",1,1,1
"parallelSolver","functionZero",1,1,1
"parallelSolver","Mesh",1,1,1
"parallelSolver","Point",2,2,1
"parallelSolver","ReactionCoefficient",1,1,1
"parallelSolver2","DiffusionCoefficient",1,1,1
"parallelSolver2","DoFHandler",1,1,1
"parallelSolver2","Element",8,7,1
"parallelSolver2","ExactSolution",1,1,1
"parallelSolver2","FETools::SpectralFE",7,4,1
"parallelSolver2","ForcingTerm",1,1,1
"parallelSolver2","functionZero",1,1,1
"parallelSolver2","Mesh",1,1,1
"parallelSolver2","Point",2,2,1
"parallelSolver2","ReactionCoefficient",1,1,1
"parallelSolverColoring","DiffusionCoefficient",1,1,1
"parallelSolverColoring","DoFHandler",1,1,1
"parallelSolverColoring","Element",7,6,1
"parallelSolverColoring","ExactSolution",1,1,1
"parallelSolverColoring","FETools::SpectralFE",7,4,1
"parallelSolverColoring","ForcingTerm",1,1,1
"parallelSolverColoring","functionZero",1,1,1
"parallelSolverColoring","Mesh",1,1,1
"parallelSolverColoring","Point",2,2,1
"parallelSolverColoring","ReactionCoefficient",1,1,1
"ReactionCoefficient","Function",1,1,1
"ReactionCoefficient","Point",1,1,1
"serialSolver","DiffusionCoefficient",1,1,1
"serialSolver","DoFHandler",1,1,1
"serialSolver","Element",11,11,1
"serialSolver","ExactSolution",1,1,1
"serialSolver","FETools::SpectralFE",1,1,1
"serialSolver","ForcingTerm",1,1,1
"serialSolver","functionZero",1,1,1
"serialSolver","Mesh",1,1,1
"serialSolver","Point",2,2,1
"serialSolver","ReactionCoefficient",1,1,1
